county,cases_per_100000,population,partially_vaccinated_percent,fully_vaccinated_percent,Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
Santa Barbara,1197.48539,456373,9.01e-06,2.25e-06,0.095715588,0.6487154270000001,0.004687055,0.32812383,0.012059559,0.006414128000000001
Madera,2293.099463,160089,0.0,0.0,0.12355848400000001,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588
Placer,681.011103,400434,2.1e-05,2.1e-05,0.09381778699999999,0.454599207,0.003313709,0.521039288,0.016793996999999998,0.004253799
Stanislaus,2214.286603,562303,1.4800000000000002e-05,5.56e-06,0.128844555,0.492389069,0.003451901,0.484499009,0.011602481999999999,0.008057538000000001
Sutter,1388.219051,105747,1.04e-05,0.0,0.116883117,0.407255417,0.0031891940000000002,0.571592721,0.012217428,0.00574524
Tuolumne,347.65334,52351,1.85e-05,0.0,0.12215628099999999,0.39390949799999997,0.004768482,0.581721915,0.01443699,0.005163115
Kings,3339.214032,156444,0.0,0.0,0.124113475,0.42632406899999997,0.002849912,0.5488246960000001,0.013770776,0.008230546
Fresno,2041.9927010000001,1032227,5.11e-06,2.04e-06,0.129931973,0.5289559,0.004039275,0.45068878700000004,0.011046348000000001,0.005269691
Napa,924.4407527000001,139652,7.12e-06,7.12e-06,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386
Monterey,1767.870355,448732,2.31e-06,0.0,0.10396716800000001,0.6951617529999999,0.004569218,0.282443586,0.011102774,0.0067226690000000006
Lake,773.843474,64871,0.0,0.0,0.109791217,0.518568652,0.007184505999999999,0.455469943,0.012980702,0.005796196
Modoc,295.5145119,9475,0.0,0.0,0.07788162,0.264793921,0.0034538340000000002,0.71586461,0.008979968,0.0069076680000000005
Sacramento,1185.796967,1567975,4.3700000000000005e-05,4.1700000000000004e-05,0.120679966,0.613562719,0.0045292579999999995,0.361067034,0.013598909,0.00724208
Ventura,1062.800573,852747,1.3000000000000001e-05,1.06e-05,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411000000001,0.005664282
San Mateo,860.6672742000001,778001,2.09e-05,1.83e-05,0.093793747,0.7788783459999999,0.004261846,0.201960716,0.009496301,0.005402791
Humboldt,266.2232099,134098,7.37e-06,0.0,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141
Riverside,1451.4949490000001,2468145,7.97e-06,9.23e-06,0.13173111699999998,0.529846885,0.003381617,0.450425009,0.009998436,0.0063480540000000005
Yolo,956.1204229,223612,8.840000000000001e-05,9.77e-05,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106
Santa Cruz,741.608546,273999,1.1e-05,7.31e-06,0.10616184099999999,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103
Orange,985.033695,3228519,1.52e-05,1.3000000000000001e-05,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377
Tulare,2269.710563,484423,2.17e-06,0.0,0.149489796,0.45004595399999997,0.003288287,0.528161487,0.010198455,0.008305817
Alpine,179.0510295,1117,0.0,0.0,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055
Mariposa,247.26046639999998,17795,0.0,0.0,0.11277173900000001,0.39766537,0.003793774,0.578793774,0.015077821000000002,0.004669261
Amador,690.3532221,38531,0.0,0.0,0.11589174199999999,0.365539813,0.004931851,0.6090835720000001,0.015647418,0.004797346
Sierra,160.5136437,3115,0.0,0.0,0.08730158699999999,0.378042465,0.0067322630000000005,0.591403418,0.013982393000000001,0.009839460999999999
San Luis Obispo,1047.8301099999999,278862,0.0,0.0,0.098634294,0.552925855,0.0049713859999999995,0.422229736,0.01507695,0.004796073
San Bernardino,1630.649978,2217398,3.75e-06,2.81e-06,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343
Merced,2499.826039,287420,1.11e-05,7.43e-06,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104
Solano,1027.112807,444255,4.56e-06,4.56e-06,0.12086827800000001,0.639406053,0.004653264,0.336637895,0.012021741,0.007281045999999999
Glenn,1506.065149,29348,7.170000000000001e-05,7.170000000000001e-05,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969
Mendocino,956.591549,88439,1.1400000000000001e-05,0.0,0.10884353699999999,0.664097831,0.009090909,0.306114444,0.013636364,0.007060451999999999
Los Angeles,1488.7560460000002,10257557,1.93e-05,1.84e-05,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056
Yuba,1268.7602470000002,79290,1.32e-05,1.32e-05,0.122516556,0.37689622799999994,0.004161632,0.593233991,0.017116391,0.008591757
Marin,1431.748466,260800,1.15e-05,1.5399999999999998e-05,0.09055727599999999,0.823256112,0.004646089,0.15794134599999998,0.009856895,0.004299557
Del Norte,315.69780099999997,27558,0.0,0.0,0.110869565,0.40836462100000004,0.006810443,0.564131669,0.013097005,0.007596263000000001
Santa Clara,842.6065456,1967585,2.08e-05,2.8600000000000004e-05,0.09316953300000001,0.7263867620000001,0.0047488009999999995,0.25226479,0.010732996000000002,0.00586665
Kern,2454.1359350000002,927251,2.26e-06,1.13e-06,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228000000001,0.007946491
Nevada,405.2274339,98710,1.01e-05,1.01e-05,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517
Tehama,824.1633149,65885,0.000173575,0.000173575,0.10314615699999999,0.310152797,0.003132505,0.666214194,0.014026661000000001,0.006473844
San Joaquin,1902.127034,782545,5.46e-06,1.09e-05,0.13841978300000002,0.556064752,0.003671738,0.417894893,0.010107633000000001,0.012260983
